# N, t_cpu(ms), t_gpushort(ms), t_gpulong(ms)
5,   652,     7705,      13485  mseg
10,  1324,    8020,      18164  mseg
100, 13716,   12025,     17600  mseg
500, 66186,   19740,     22965  mseg
1000, 130679, 31763,     33310  mseg
2500, 323120, 69323,     63197  mseg
5000, 634371, 136694,    115490 mseg
8000, 1003644, 215946,   169575 mseg
10000,       , 268221,   222777 mseg
15000,       , 401751,   309876 mseg
20000,       , 534867,   405264 mseg
25000,       , 668140,   506000 mseg
30000,       , 800687,   606794 mseg
